"Tracking Code","Type","Category","Geo","Channel","Tier","Season (v8) (evar8)","Order Type (v43) (evar43)","Revenue"
"","","","","","","","",12703844.05
"","","","","","","","at once",75190116.56
"","","","","","","","futures",572251.82
"","","","","","","","futures_contract",0.00
"","","","","","","","select",0.00
"","","","","","","","shared_futures",514.58
"","","","","","","fa2014","",0.00
"","","","","","","fa2015","",0.00
"","","","","","","fa2015","at once",0.00
"","","","","","","fa2015,su2015","",0.00
"","","","","","","fa2015,su2017,fa2017","at once",1868.74
"","","","","","","fa2016","",0.00
"","","","","","","fa2016","at once",651505.07
"","","","","","","fa2016","futures",0.00
"","","","","","","fa2016","shared_futures",0.00
"","","","","","","fa2016,fa2017","",0.00
"","","","","","","fa2016,fa2017","at once",26042.98
"","","","","","","fa2016,fa2017,ho2016","at once",7382.77
"","","","","","","fa2016,fa2017,ho2017,su2017","at once",124.98
"","","","","","","fa2016,fa2017,sp2017,su2017,ho2016","",0.00
"","","","","","","fa2016,fa2017,sp2017,su2017,ho2016","at once",16126.72
"","","","","","","fa2016,fa2017,su2017","",0.00
"","","","","","","fa2016,fa2017,su2017","at once",9001.84
"","","","","","","fa2016,fa2017,su2017,ho2016,sp2017","at once",2103.96
"","","","","","","fa2016,fa2017,su2017,sp2017,ho2016","at once",4118.56
"","","","","","","fa2016,ho2016","",0.00
"","","","","","","fa2016,ho2016","at once",13321.97
"","","","","","","fa2016,ho2016,fa2017","",0.00
"","","","","","","fa2016,ho2016,fa2017","at once",758.31
"","","","","","","fa2016,ho2016,fa2017,su2017","",0.00
"","","","","","","fa2016,ho2016,fa2017,su2017","at once",898.58
"","","","","","","fa2016,ho2016,fa2017,su2017,sp2017","",0.00
"","","","","","","fa2016,ho2016,fa2017,su2017,sp2017","at once",1864.31
"","","","","","","fa2016,ho2016,sp2017","at once",1835.58
"","","","","","","fa2016,ho2016,sp2017,su2017,fa2017","at once",7214.98
"","","","","","","fa2016,ho2016,su2016,sp2017,su2017,fa2017","at once",108.09
"","","","","","","fa2016,ho2016,su2017,sp2017","",0.00
"","","","","","","fa2016,ho2016,su2017,sp2017","at once",2563.59
"","","","","","","fa2016,ho2016,su2017,sp2017,fa2017","at once",1225.28
"","","","","","","fa2016,sp2017","at once",9794.59
"","","","","","","fa2016,sp2017,fa2017","",0.00
"","","","","","","fa2016,sp2017,fa2017","at once",511.71
"","","","","","","fa2016,sp2017,fa2017,ho2016","",0.00
"","","","","","","fa2016,sp2017,fa2017,ho2016","at once",472.16
"","","","","","","fa2016,sp2017,ho2016","",0.00
"","","","","","","fa2016,sp2017,ho2016,su2017","",0.00
"","","","","","","fa2016,sp2017,ho2016,su2017","at once",9529.88
"","","","","","","fa2016,sp2017,ho2016,su2017,fa2017","at once",3279.83
"","","","","","","fa2016,sp2017,sp2016","at once",548.69
"","","","","","","fa2016,sp2017,su2017","",0.00
"","","","","","","fa2016,sp2017,su2017","at once",5942.36
"","","","","","","fa2016,sp2017,su2017,fa2017","at once",4872.78
"","","","","","","fa2016,su2016,fa2017,su2017","at once",4618.57
"","","","","","","fa2016,su2016,su2017,fa2017","at once",3710.79
"","","","","","","fa2016,su2017","",0.00
"","","","","","","fa2016,su2017","at once",26414.91
"","","","","","","fa2016,su2017,fa2017","at once",1077.94
"","","","","","","fa2016,su2017,ho2016","at once",3173.45
"","","","","","","fa2016,su2017,ho2016,fa2017","",0.00
"","","","","","","fa2016,su2017,sp2017","",0.00
"","","","","","","fa2016,su2017,sp2017","at once",8111.02
"","","","","","","fa2016,su2017,sp2017,fa2017","at once",9785.09
"","","","","","","fa2016,su2017,sp2017,ho2016","at once",952.59
"","","","","","","fa2016,su2017,sp2017,su2016","at once",20303.56
"","","","","","","fa2016,su2017,su2016,sp2016,ho2016,sp2017","at once",1457.31
"","","","","","","fa2016,su2017,su2016,sp2017,ho2016","at once",1214.72
"","","","","","","fa2017","",7467.28
"","","","","","","fa2017","at once",95783982.66
"","","","","","","fa2017","futures",3670665.47
"","","","","","","fa2017","futures_contract",68249.20
"","","","","","","fa2017","shared_futures",520992.94
"","","","","","","fa2017,fa2016","",0.00
"","","","","","","fa2017,fa2016","at once",4513.56
"","","","","","","fa2017,fa2016,ho2016","at once",3140.72
"","","","","","","fa2017,fa2016,ho2016,sp2017","",0.00
"","","","","","","fa2017,fa2016,ho2016,sp2017","at once",2101.12
"","","","","","","fa2017,fa2016,sp2017,su2017","",0.00
"","","","","","","fa2017,fa2016,sp2017,su2017","at once",4118.20
"","","","","","","fa2017,fa2016,su2017","",0.00
"","","","","","","fa2017,fa2016,su2017","at once",18750.30
"","","","","","","fa2017,fa2016,su2017,sp2017","at once",2403.51
"","","","","","","fa2017,ho2016","",0.00
"","","","","","","fa2017,ho2016","at once",189354.05
"","","","","","","fa2017,ho2016,fa2016","at once",2098.51
"","","","","","","fa2017,ho2016,fa2016,su2017","at once",746.90
"","","","","","","fa2017,ho2016,fa2016,su2017,sp2017","",0.00
"","","","","","","fa2017,ho2016,fa2016,su2017,sp2017","at once",5478.45
"","","","","","","fa2017,ho2016,ho2017","",0.00
"","","","","","","fa2017,ho2016,ho2017","at once",14997.50
"","","","","","","fa2017,ho2016,sp2017","",0.00
"","","","","","","fa2017,ho2016,sp2017","at once",5150.49
"","","","","","","fa2017,ho2016,sp2017,su2017","",0.00
"","","","","","","fa2017,ho2016,sp2017,su2017","at once",59765.27
"","","","","","","fa2017,ho2016,su2017","",0.00
"","","","","","","fa2017,ho2016,su2017","at once",29098.01
"","","","","","","fa2017,ho2016,su2017,sp2017","",0.00
"","","","","","","fa2017,ho2016,su2017,sp2017","at once",17995.39
"","","","","","","fa2017,ho2016,su2017,sp2017,sp2016,su2016,fa2016","at once",3097.68
"","","","","","","fa2017,ho2017","",0.00
"","","","","","","fa2017,ho2017","at once",223651.24
"","","","","","","fa2017,ho2017,su2017","at once",5994.70
"","","","","","","fa2017,sp2017","",0.00
"","","","","","","fa2017,sp2017","at once",134545.89
"","","","","","","fa2017,sp2017,ho2015,su2017","at once",7305.96
"","","","","","","fa2017,sp2017,ho2016","",0.00
"","","","","","","fa2017,sp2017,ho2016","at once",6473.18
"","","","","","","fa2017,sp2017,ho2016,su2017","at once",920.86
"","","","","","","fa2017,sp2017,su2017","",0.00
"","","","","","","fa2017,sp2017,su2017","at once",386330.53
"","","","","","","fa2017,sp2017,su2017,fa2016","at once",5080.15
"","","","","","","fa2017,sp2017,su2017,ho2016","",0.00
"","","","","","","fa2017,sp2017,su2017,ho2016","at once",20579.90
"","","","","","","fa2017,sp2017,su2017,su2016","",0.00
"","","","","","","fa2017,su2016","",0.00
"","","","","","","fa2017,su2016","at once",2199.26
"","","","","","","fa2017,su2016,fa2016,ho2016,sp2017,su2017","at once",1832.26
"","","","","","","fa2017,su2016,ho2016","at once",133.76
"","","","","","","fa2017,su2017","",0.00
"","","","","","","fa2017,su2017","at once",7152347.47
"","","","","","","fa2017,su2017","futures",0.00
"","","","","","","fa2017,su2017,fa2016","",0.00
"","","","","","","fa2017,su2017,fa2016","at once",18040.23
"","","","","","","fa2017,su2017,fa2016,ho2016,sp2017","at once",13119.98
"","","","","","","fa2017,su2017,fa2016,sp2017","",0.00
"","","","","","","fa2017,su2017,fa2016,sp2017","at once",3842.36
"","","","","","","fa2017,su2017,fa2016,su2016,sp2017","",0.00
"","","","","","","fa2017,su2017,fa2016,su2016,sp2017","at once",570.29
"","","","","","","fa2017,su2017,ho2016","",0.00
"","","","","","","fa2017,su2017,ho2016","at once",46537.16
"","","","","","","fa2017,su2017,ho2016,fa2016","",0.00
"","","","","","","fa2017,su2017,ho2016,fa2016","at once",2349.92
"","","","","","","fa2017,su2017,ho2016,sp2017","at once",142058.36
"","","","","","","fa2017,su2017,ho2016,sp2017,fa2016","at once",3812.20
"","","","","","","fa2017,su2017,ho2016,su2016","at once",398.46
"","","","","","","fa2017,su2017,ho2017","",0.00
"","","","","","","fa2017,su2017,ho2017","at once",20318.21
"","","","","","","fa2017,su2017,sp2017","",0.00
"","","","","","","fa2017,su2017,sp2017","at once",528837.41
"","","","","","","fa2017,su2017,sp2017","futures",0.00
"","","","","","","fa2017,su2017,sp2017,fa2016","",0.00
"","","","","","","fa2017,su2017,sp2017,fa2016","at once",33429.92
"","","","","","","fa2017,su2017,sp2017,fa2016,ho2016","at once",2640.59
"","","","","","","fa2017,su2017,sp2017,ho2016","",0.00
"","","","","","","fa2017,su2017,sp2017,ho2016","at once",136896.34
"","","","","","","fa2017,su2017,sp2018","at once",325.81
"","","","","","","fa2017,su2017,su2016,sp2017","at once",195.96
"","","","","","","fall 2017","",0.00
"","","","","","","fall 2017","at once",0.00
"","","","","","","fall 2017","futures",0.00
"","","","","","","ho2013","",0.00
"","","","","","","ho2014","",0.00
"","","","","","","ho2015","",0.00
"","","","","","","ho2015","at once",3050.40
"","","","","","","ho2015,fa2016,sp2017","at once",861.95
"","","","","","","ho2015,ho2016","",0.00
"","","","","","","ho2015,ho2016,sp2017,su2017","at once",232.52
"","","","","","","ho2016","",0.00
"","","","","","","ho2016","at once",2148478.49
"","","","","","","ho2016","futures",0.00
"","","","","","","ho2016,fa2015,su2015","",0.00
"","","","","","","ho2016,fa2016","at once",3383.21
"","","","","","","ho2016,fa2016,fa2017,su2017","at once",5828.12
"","","","","","","ho2016,fa2016,sp2017","",0.00
"","","","","","","ho2016,fa2016,sp2017","at once",49674.48
"","","","","","","ho2016,fa2016,sp2017,su2017","at once",8061.30
"","","","","","","ho2016,fa2016,su2016,sp2017","at once",5713.87
"","","","","","","ho2016,fa2016,su2016,su2017,fa2017,sp2017","",0.00
"","","","","","","ho2016,fa2016,su2016,su2017,fa2017,sp2017","at once",139.82
"","","","","","","ho2016,fa2016,su2016,su2017,sp2017,fa2017","at once",167.24
"","","","","","","ho2016,fa2016,su2017","at once",4003.44
"","","","","","","ho2016,fa2017","",0.00
"","","","","","","ho2016,fa2017","at once",53240.63
"","","","","","","ho2016,fa2017,sp2017,su2017","at once",9554.55
"","","","","","","ho2016,fa2017,su2017","",0.00
"","","","","","","ho2016,fa2017,su2017","at once",18350.69
"","","","","","","ho2016,fa2017,su2017,sp2017","at once",1759.41
"","","","","","","ho2016,ho2015,sp2016","",0.00
"","","","","","","ho2016,sp2017","",0.00
"","","","","","","ho2016,sp2017","at once",45236.25
"","","","","","","ho2016,sp2017,fa2016","",0.00
"","","","","","","ho2016,sp2017,fa2016","at once",76095.13
"","","","","","","ho2016,sp2017,fa2017","",0.00
"","","","","","","ho2016,sp2017,fa2017","at once",4436.08
"","","","","","","ho2016,sp2017,fa2017,su2017","at once",17536.97
"","","","","","","ho2016,sp2017,su2017","",0.00
"","","","","","","ho2016,sp2017,su2017","at once",10506.53
"","","","","","","ho2016,sp2017,su2017,fa2017","at once",6523.79
"","","","","","","ho2016,sp2017,su2017,su2016,fa2016","at once",3177.88
"","","","","","","ho2016,su2016","at once",26111.89
"","","","","","","ho2016,su2016,su2017,sp2017","at once",731.73
"","","","","","","ho2016,su2017","",0.00
"","","","","","","ho2016,su2017","at once",40696.96
"","","","","","","ho2016,su2017,fa2016,sp2017","",0.00
"","","","","","","ho2016,su2017,fa2016,sp2017","at once",8654.90
"","","","","","","ho2016,su2017,fa2017","at once",75045.76
"","","","","","","ho2016,su2017,fa2017,fa2016","at once",1037.19
"","","","","","","ho2016,su2017,fa2017,sp2017","at once",9804.86
"","","","","","","ho2016,su2017,sp2017","",0.00
"","","","","","","ho2016,su2017,sp2017","at once",24783.38
