Tracking Code,Type,Category,Geo,Channel,Tier,Season (v8) (evar8),Order Type (v43) (evar43),Revenue,Territory,Campaign_Season,unique_id
comms_email_futures_xcat_TW_sp2018_xch_all_welcomeLS,futures,xcat,GC,xch,all,"fa2017,su2017",at once,1148.62,TW,sp2018,welcomeLS
comms_email_futures_xcat_TW_sp2018_xch_all_welcomeLS,futures,xcat,GC,xch,all,sp2018,futures,93608.61,TW,sp2018,welcomeLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introLS,futures,xcat,WE,xch,all,,at once,352.06,AGS,sp2018,introLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introLS,futures,xcat,WE,xch,all,su2017,at once,723.59,AGS,sp2018,introLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introLS,futures,xcat,WE,xch,all,,at once,1275.72,AGS,sp2018,introLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introLS,futures,xcat,WE,xch,all,"fa2017,su2017",at once,1527.32,AGS,sp2018,introLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introLS,futures,xcat,WE,xch,all,su2017,at once,4933.69,AGS,sp2018,introLS
comms_email_futures_xcat_AGS_sp2018_xch_all_introSO,futures,xcat,WE,xch,all,,at once,58.74,AGS,sp2018,introSO
comms_email_futures_xcat_AGS_sp2018_xch_all_introSO,futures,xcat,WE,xch,all,su2017,at once,50.83,AGS,sp2018,introSO
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,,at once,2273.23,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,fa2017,at once,1062.53,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,sp2018,futures,4527.4,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,su2017,at once,879.19,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,,at once,162.83,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,fa2017,at once,114.7,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,sp2017,at once,55.86,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,sp2018,futures,159019.8,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_seasprev,futures,xcat,WE,xch,all,su2017,at once,23350.5,AGS,sp2018,seasprev
comms_email_futures_xcat_AGS_sp2018_xch_all_welcome,futures,xcat,WE,xch,all,,at once,70.7,AGS,sp2018,welcome
comms_email_futures_xcat_AGS_sp2018_xch_all_welcome,futures,xcat,WE,xch,all,su2017,at once,310.04,AGS,sp2018,welcome
comms_email_futures_xcat_AGS_sp2018_xch_all_welcome,futures,xcat,WE,xch,all,,at once,643.61,AGS,sp2018,welcome
comms_email_futures_xcat_AGS_sp2018_xch_all_welcome,futures,xcat,WE,xch,all,sp2018,futures,66330.15,AGS,sp2018,welcome
comms_email_futures_xcat_AGS_sp2018_xch_all_welcome,futures,xcat,WE,xch,all,su2017,at once,10336.02,AGS,sp2018,welcome
comms_email_futures_xcat_BR_sp2018_xch_all_evntprev,futures,xcat,EM,xch,all,sp2018,futures,465870.77,BR,sp2018,evntprev
comms_email_futures_xcat_BR_sp2018_xch_all_evntprev,futures,xcat,EM,xch,all,su2016,at once,2895.47,BR,sp2018,evntprev
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,sp2018,futures,608.18,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,,at once,1096.68,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,sp2018,futures,343803.23,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,su2017,at once,17024.98,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,"su2017,fa2017",at once,1966.12,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introLS,futures,xcat,EM,xch,all,su2018,futures,15056.33,BR,sp2018,introLS
comms_email_futures_xcat_BR_sp2018_xch_all_introSO,futures,xcat,EM,xch,all,,at once,2675.98,BR,sp2018,introSO
comms_email_futures_xcat_BR_sp2018_xch_all_introSO,futures,xcat,EM,xch,all,"fa2017,su2017",at once,1401.12,BR,sp2018,introSO
comms_email_futures_xcat_BR_sp2018_xch_all_introSO,futures,xcat,EM,xch,all,sp2018,futures,136823.4,BR,sp2018,introSO
comms_email_futures_xcat_BR_sp2018_xch_all_introSO,futures,xcat,EM,xch,all,su2017,at once,3848.55,BR,sp2018,introSO
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,sp2018,futures,2733.65,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,su2018,futures,3904.8,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,,at once,5433.17,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,"fa2017,su2017",at once,282.3,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,ho2016,at once,928.39,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,sp2017,at once,266.74,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,sp2018,futures,447831.19,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,su2017,at once,23161.34,BR,sp2018,seasprev
comms_email_futures_xcat_BR_sp2018_xch_all_seasprev,futures,xcat,EM,xch,all,"su2017,fa2017",at once,2903.33,BR,sp2018,seasprev
